country,timezone
Estonia,GMT+3
Germany,GMT+2
Spain,GMT+1
United Kingdom,GMT+1
France,GMT+2
Sweden,GMT+2
Italy,GMT+2
Finland,GMT+3
Netherlands,GMT+2
Latvia,GMT+3
